universalid,title,authorinfo,genre,notes
lt9500w032,Tarentinus senarius,<author>Anonymi Epici et Lyrici</author>. Tarentinus senarius .,Poem.,
lt9500w033,De Venere et Amoribus,<author>Anonymi Epici et Lyrici</author>. <work>De Venere et Amoribus</work> .,Poem.,
lt9500w035,versus fortasse Enniani,<author>Anonymi Epici et Lyrici</author>. versus fortasse Enniani .,Poem.,
lt9500w036,versus fortasse Luciliani,<author>Anonymi Epici et Lyrici</author>. versus fortasse Luciliani .,Poem.,
lt9500w037,versus aevi Catulliani,<author>Anonymi Epici et Lyrici</author>. versus aevi Catulliani .,Poem.,
lt9500w038,versus aevi Catulliani a Morel omissi,<author>Anonymi Epici et Lyrici</author>. versus aevi Catulliani a Morel omissi .,Poem.,
lt9500w039,versus aevi Augustei,<author>Anonymi Epici et Lyrici</author>. versus aevi Augustei .,Poem.,
lt9500w040,serioris aetatis versus,<author>Anonymi Epici et Lyrici</author>. serioris aetatis versus .,Poem.,
lt9500w041,versus reciproci,<author>Anonymi Epici et Lyrici</author>. versus reciproci .,Poem.,
lt0149w001,Carmen Arvale,  <work>Carmen Arvale</work> .,Poem.,
lt0306w001,Carmen Devotionis,  <work>Carmen Devotionis</work> .,Poem.,
lt0309w001,Carmen Evocationis,  <work>Carmen Evocationis</work> .,Poem.,
lt0448w006,carmina,<author>C. Iulius Caesar</author>. carmina .,Poem.,
lt0684w009,Logistorici,<author>M. Terentius Varro</author>. <work>Logistorici</work> .,Poem.,
lt0684w010,carmina,<author>M. Terentius Varro</author>. carmina .,Poem.,
lt0959w012,"carmina, fragmenta","<author>P. Ovidius Naso</author>. carmina, fragmenta .",Poem.,
lt0981w001,carmina,<author>C. Asinius Pollio</author>. carmina .,Poem.,
lt0990w001,Precatio Omnium Herbarum,  <work>Precatio Omnium Herbarum</work> .,Poem.,
lt0993w001,Precatio Terrae,  <work>Precatio Terrae</work> .,Poem.,
lt1103w001,Priapea,  <work>Priapea</work> .,Poem.,
lt1203w001,carmina,<author>Alfius Avitus</author>. carmina .,Poem.,
